bus,vm_pu,va_degree,p_mw,q_mvar
1,1.062519,-0.077206,-3.349332,-1.006116
2,1.024568,-0.155869,-31.077189,-0.290356
3,1.055981,-0.052275,-40.905373,0.196804
4,1.077861,-0.038914,-60.930100,-9.428430
5,1.065769,-0.078234,-4.884779,0.793266
7,1.060276,-0.026257,83.576331,5.303880
8,1.081813,-0.018428,23.124770,-67.554984
9,1.057977,-0.035063,-17.144713,-29.727229
10,1.063895,-0.024071,13.966647,-18.403187
11,1.052229,0.014940,372.108007,-45.144120
12,1.097024,-0.027135,-193.356101,4.833309
13,1.056570,0.000094,52.803636,89.391577
14,1.098919,-0.012872,27.939830,12.540873
15,1.077920,-0.029107,-7.187632,4.694804
16,1.055682,-0.050090,-36.914399,-1.892850
17,1.057668,-0.051081,-10.338573,0.652976
18,1.079539,-0.034882,-1.708228,1.689218
19,1.058561,-0.089888,-1.760264,0.054233
20,1.024447,-0.128535,-7.345553,0.184958
21,1.022439,-0.152307,-11.436881,0.217309
26,1.075061,-0.043937,-29.655668,-4.662598
29,1.060112,-0.066308,-1.718686,0.017356
30,1.020089,-0.161276,-19.077840,0.051064
34,1.062001,-0.051220,71.089599,-1.993086
35,1.065854,-0.059587,-17.647113,-0.796807
36,1.071461,-0.063507,22.809233,24.237214
42,1.071194,-0.070242,-27.167929,-0.825662
55,1.067692,-0.064064,-7.974491,-0.939469
68,1.065035,-0.079665,-4.474220,-0.437636
72,1.087732,-0.040371,-72.816633,9.466753
103,1.079161,-0.039512,-54.824750,1.898840
