bus,vm_pu,va_degree,p_mw,q_mvar
1,1.088042,-0.020259,-1.727667,-0.350584
2,1.058952,-0.069716,-21.094041,2.592067
3,1.075678,0.003877,-27.618266,4.978257
4,1.095179,-0.022108,-38.725451,-3.650059
5,1.096430,-0.027452,5.247146,0.890398
7,1.074737,0.021649,68.050371,-4.705529
8,1.107613,-0.015361,19.712224,-28.509193
9,1.072707,0.012875,-16.314045,-24.615899
10,1.072781,0.006071,15.503307,-33.263821
11,1.059419,0.006894,207.570537,-119.905732
12,1.115287,-0.020127,-115.747228,54.784268
13,1.064433,0.001039,45.192340,30.474380
14,1.117510,-0.010637,25.440287,21.598544
15,1.092698,-0.016107,-4.040506,5.059629
16,1.074741,0.004648,-26.635624,2.299519
17,1.076113,0.004291,-6.554588,1.371922
18,1.094597,-0.019733,-0.661568,1.630909
19,1.085637,-0.029430,-0.583249,-0.041932
20,1.053506,-0.060731,-6.100632,0.205625
21,1.058565,-0.062913,-6.656568,1.325053
26,1.092668,-0.023702,-19.775583,-1.088045
29,1.083526,-0.007339,-0.457284,0.002872
30,1.055997,-0.068355,-12.476888,2.161858
34,1.080500,0.005506,67.102796,-15.252552
35,1.084708,-0.002685,-10.372259,-2.047738
36,1.090442,-0.006709,16.833876,15.108730
42,1.101191,-0.038995,-20.879582,0.780441
55,1.089856,-0.023857,-2.743029,-0.692347
68,1.095642,-0.026763,-2.064847,-0.429120
72,1.111270,-0.030076,-84.351733,28.847851
103,1.096650,-0.025219,-42.966817,13.387539
