bus,vm_pu,va_degree,p_mw,q_mvar
1,1.048258,0.444322,27.462464,-66.389766
2,1.028009,0.416183,-397.477536,-82.597042
3,1.049247,0.608020,1804.135117,-39.423190
4,1.049801,0.372669,-1014.169570,693.860789
5,1.047227,0.374087,-2676.711005,-236.278214
6,1.049813,0.533018,7954.729541,232.388605
7,1.047237,0.252190,-577.397051,894.883199
8,1.043529,0.252112,-775.188132,-28.905946
9,1.049911,0.400475,1048.271438,-41.132122
10,1.050256,0.185234,971.106340,-1338.842290
11,1.049303,0.197237,3078.905951,69.981209
12,1.050623,0.162139,3249.155368,923.184869
13,1.050244,0.096953,-1957.122984,-594.066259
14,1.049472,0.063558,-1419.740581,-439.349585
15,1.050879,0.075483,-1.971534,-2094.393882
16,1.049080,0.038031,-947.565117,1051.505580
17,1.047448,0.004448,-635.775514,495.842580
18,1.048239,0.010279,-3956.333273,-578.782148
19,1.049737,0.022597,1486.979955,996.067361
20,1.049321,-0.004596,763.589073,614.273306
21,1.049123,-0.015375,-75.009345,85.787132
22,1.047098,-0.027948,-1195.488620,-326.407814
23,1.048134,-0.027762,-81.445499,-2717.845360
24,1.044948,-0.032303,-1099.456278,-409.416935
25,1.046152,-0.061403,-5398.297023,-1309.534958
26,1.048582,-0.010807,892.615389,317.976956
27,1.049232,-0.000330,944.048292,-139.389665
28,1.047515,-0.016458,-613.185539,65.468968
29,1.050046,0.007308,1072.763706,142.234689
30,1.048654,0.444324,0.308482,0.018578
