bus,vm_pu,va_degree,p_mw,q_mvar
1,1.042487,0.420529,-71.820293,-49.436770
2,1.025108,0.400353,-317.395862,-174.272877
3,1.049884,0.597843,1852.653358,-3.623468
4,1.050365,0.356297,-802.167188,746.415733
5,1.049076,0.322176,-3094.846477,-201.385368
6,1.049350,0.486100,5895.082837,284.415672
7,1.045930,0.261564,-458.700807,-684.857609
8,1.043917,0.259844,-614.217343,-22.851715
9,1.049182,0.424984,2887.575692,-32.271803
10,1.049210,0.205165,1449.802957,-1352.546133
11,1.050148,0.217060,2997.194900,-526.226773
12,1.050663,0.185179,3441.399899,1789.429597
13,1.049787,0.119070,-1543.585930,-467.040798
14,1.049941,0.076016,-1121.047447,-345.380210
15,1.049935,0.083102,-1173.872988,3108.127290
16,1.049651,0.049271,-979.573189,-735.849259
17,1.047704,0.021954,-663.113945,-248.224934
18,1.049449,0.028355,-3273.538464,-255.620671
19,1.050340,0.039249,2010.835426,-779.114233
20,1.049574,-0.002030,929.076918,523.281295
21,1.049495,-0.005115,195.234095,-428.703855
22,1.048022,-0.018593,-892.347103,-637.469265
23,1.045872,-0.034951,-2889.560687,-760.131609
24,1.045226,-0.036053,-869.138870,-321.848534
25,1.046416,-0.046444,-3728.885278,-2713.731607
26,1.047619,-0.016120,-871.175717,286.566290
27,1.048719,0.000503,1014.892215,-215.434362
28,1.047426,-0.010746,-352.826049,-1162.755909
29,1.050054,0.019750,1495.109680,816.056340
30,1.040624,0.417297,-4.559830,-0.000220
