bus,vm_pu,va_degree,p_mw,q_mvar
1,1.038877,0.125244,-0.365511,-48.450265
2,1.038036,0.220924,-0.413368,-53.581738
3,1.042132,0.209655,-0.409291,-28.398554
4,1.041278,-0.086575,-0.363047,-43.803761
5,1.019812,0.176374,-98.244068,-3.171025
6,1.021632,0.193665,-0.318055,-7.491747
7,1.039846,-0.143160,-0.425258,73.436034
8,1.003019,0.019402,-0.342203,-0.015376
9,1.025844,-0.122441,-0.401385,0.082103
10,1.037267,-0.132729,-98.252161,0.074587
11,1.017129,-0.145720,-6.378251,-0.424042
12,1.010444,-0.190016,-0.323478,-0.002853
13,1.023255,-0.126521,-11.015676,-2.437408
14,1.026979,-0.118151,-0.356547,-0.055370
15,1.044207,-0.084597,-0.379953,0.022096
16,1.009108,0.203923,-0.396677,-0.007145
17,1.025854,0.080793,-0.401100,0.069187
18,1.021992,0.065636,-0.458458,-0.026949
19,1.012192,-0.209929,-0.314552,-0.065823
20,1.015244,-0.140957,-0.459432,0.026351
21,1.022336,0.069086,-0.333218,-0.091641
22,1.032706,-0.131931,100.267579,17.526514
23,1.001037,-0.226397,-0.443498,-0.054777
24,1.022003,0.235818,-98.263328,-0.061382
25,1.016576,0.058414,-98.306061,-0.046989
26,1.041283,-0.113005,-6.307485,-0.320218
27,1.034014,-0.106394,-6.223452,-0.192928
28,1.029818,-0.130325,-4.601302,0.646347
29,1.021525,-0.153660,-0.408688,0.010717
30,1.036584,0.091719,30.565520,52.770910
31,1.016068,0.255314,-0.437433,-0.034207
32,1.029952,0.090381,-0.258713,0.029932
33,1.037100,0.092553,-0.443640,0.077127
34,1.020327,-0.177479,-0.364803,0.027142
35,1.000249,0.140311,-0.341579,-0.019683
36,1.013211,0.020904,-0.361124,-0.054635
37,1.020241,-0.077509,-0.350505,-0.002186
38,1.020775,0.111937,-0.352104,0.018555
39,1.019533,0.102799,-0.413339,0.019406
40,1.023534,0.193604,-0.371317,-0.043080
41,1.020790,0.101902,-0.394326,-0.020297
42,1.018993,0.182026,-0.333148,0.111344
43,1.017860,-0.086817,-0.350177,0.031702
44,1.018282,0.094185,-0.386247,0.024438
45,1.021841,0.005147,-0.388397,-0.025251
46,1.022195,-0.037626,-0.396110,0.009898
47,1.023957,0.179639,-0.262005,-0.031818
48,1.015919,0.085531,-0.391099,0.097130
49,1.024107,0.120287,-0.363647,0.018520
50,1.019448,-0.075311,-98.178517,-0.051249
51,1.023976,0.163126,-0.361263,-0.035501
52,1.021665,0.047928,-0.353086,-0.066880
53,1.019411,0.100061,-0.322923,-0.044543
54,1.031571,0.275431,-0.217872,0.074342
55,1.017129,-0.089424,-0.318444,0.042544
56,1.019397,-0.090690,-0.334334,0.021730
57,1.024229,0.121000,-0.378534,0.035804
58,1.017005,-0.092711,-0.346596,-0.091328
59,1.018761,-0.080479,-0.406267,0.020659
60,1.023181,0.126439,-0.333841,-0.001136
61,1.026030,0.181528,89.639915,-4.034350
62,1.019478,0.259283,-0.329014,-0.022857
63,1.031031,0.252405,-0.336376,0.026582
64,1.015363,-0.027489,-0.397946,-0.042887
65,1.022757,0.220327,-0.330052,-0.001297
66,1.023744,0.133823,-0.415419,0.018043
67,1.024380,0.135086,-3.767071,1.197944
68,1.019637,0.098423,-0.377321,-0.000953
69,1.021050,0.101409,-0.370536,-0.102692
70,1.022603,0.130439,-0.456116,-0.029348
71,1.021199,0.099053,-0.318769,0.025219
72,1.014897,0.258236,-0.339266,-0.009479
73,1.026994,0.231889,-0.427501,0.018050
74,1.019135,-0.019876,-0.340215,-0.044741
75,1.024188,0.202598,-98.215083,0.082815
76,1.016362,-0.089738,-0.312054,-0.034103
77,1.026288,0.250909,-0.408648,0.051133
78,1.018060,0.151813,-0.338432,-0.008446
79,1.024833,0.209046,-0.311227,0.030038
80,1.042982,-0.081479,-0.432415,0.043854
81,1.034962,0.106324,-0.460586,0.012344
82,1.037453,-0.022055,-0.393438,0.036023
83,1.041343,0.107717,-0.379200,-0.125714
84,1.038451,-0.056508,-0.344055,-0.027582
85,1.033230,0.068017,-0.315457,0.029332
86,1.041131,-0.061669,-0.450856,0.014139
87,1.045846,-0.049755,-0.356856,0.024453
88,1.034271,0.108870,-0.321182,-0.093707
89,1.039942,-0.030780,-0.318089,0.041671
90,1.035834,0.163018,-0.422439,0.003492
91,1.037738,0.110893,-0.449544,-0.007921
92,1.030591,0.106030,-0.353242,-0.007011
93,1.034260,0.112526,-0.350677,0.005827
94,1.035303,0.108955,-0.401597,0.009609
95,1.042569,0.120054,-0.332942,0.004830
96,1.038530,0.124452,-0.328530,-0.010260
97,1.040362,-0.056105,-0.417121,0.000605
98,1.043378,0.207819,-0.300820,-0.015870
99,1.047901,0.196851,-0.339694,0.007542
100,1.042695,-0.000094,-98.301378,-0.002739
101,1.036537,0.120913,-0.385123,-0.025328
102,1.026384,-0.111729,-0.334147,-0.013734
103,1.037729,0.148216,-0.326228,0.077528
104,1.035270,0.113296,-0.361126,-0.011506
105,1.043716,-0.086615,-0.399841,0.005689
106,1.038701,0.220872,-0.276610,-0.015972
107,1.029821,-0.143085,-0.442252,0.050966
108,1.009381,0.061005,-26.746431,-6.056199
109,1.013927,-0.076166,-319.881188,-14.128315
110,1.021746,-0.152892,-254.669226,2.773139
111,1.019754,0.048270,-198.650686,-7.242110
112,1.023572,-0.166692,-191.900529,-0.091826
