bus,vm_pu,va_degree,p_mw,q_mvar
1,1.044623,0.166909,0.054354,-14.009479
2,1.047326,0.276569,-0.033925,-26.900212
3,1.043523,0.170491,-0.059541,-19.882650
4,1.043337,-0.055166,0.103310,-38.440850
5,1.041689,0.230006,-41.388607,10.390535
6,1.042015,0.237856,0.085173,2.796157
7,1.037605,-0.067220,-0.023123,22.691038
8,1.005788,0.055566,0.002545,0.003900
9,1.027798,-0.092829,0.025610,-0.025407
10,1.039655,-0.086922,0.017732,-0.022326
11,1.021044,-0.108902,-1.056232,0.088095
12,1.022168,-0.090383,0.040007,0.059249
13,1.025174,-0.107400,-4.531549,-1.362877
14,1.028344,-0.091422,0.051656,-0.101710
15,1.040770,-0.069905,0.063927,-0.005779
16,1.024046,0.256838,-0.016808,0.039804
17,1.027927,0.132749,0.132919,-0.052813
18,1.018697,0.099227,0.006552,0.021408
19,1.013708,-0.161069,0.008427,-0.067001
20,1.018217,-0.124050,-0.033341,0.037612
21,1.022942,0.125761,0.030571,0.074415
22,1.029871,-0.069081,100.506770,-27.425844
23,1.017615,-0.107346,-0.007186,-0.033823
24,1.026462,0.219590,-0.073681,-0.057671
25,1.020881,0.116590,-0.031201,0.008762
26,1.041731,-0.080922,-3.861069,-0.506560
27,1.035068,-0.082899,-0.016029,0.374165
28,1.035481,-0.072381,-0.308288,0.272338
29,1.028733,-0.072524,0.021884,0.057141
30,1.033913,0.148699,31.009797,30.090569
31,1.021888,0.251312,-0.019455,0.069056
32,1.030468,0.146844,-0.014527,0.090224
33,1.034985,0.151664,-0.000312,0.099086
34,1.026410,-0.075858,0.035924,-0.019247
35,1.010458,0.143262,-0.075994,0.050630
36,1.015336,0.056960,-0.043073,-0.032121
37,1.023700,-0.051567,0.001288,-0.030172
38,1.025407,0.150170,0.070882,-0.016458
39,1.024692,0.144883,0.055479,-0.002528
40,1.041603,0.237713,0.104642,0.027833
41,1.025609,0.137349,0.025415,0.022259
42,1.026394,0.219888,0.033969,0.069691
43,1.023937,-0.065843,0.069047,0.001448
44,1.027784,0.155251,-0.080166,-0.017447
45,1.024058,0.020807,-0.057415,0.023838
46,1.023285,-0.017290,-0.002197,0.058294
47,1.031211,0.232177,-0.049384,0.081334
48,1.023473,0.133104,0.005144,-0.119069
49,1.028708,0.149941,-0.032467,-0.014247
50,1.024266,-0.053055,-41.307350,-0.015644
51,1.034340,0.212079,0.037173,0.052453
52,1.025340,0.088471,-0.019162,-0.019622
53,1.025178,0.133502,-0.060996,-0.017090
54,1.042830,0.349790,-0.007137,0.036595
55,1.022231,-0.067550,0.013487,-0.039683
56,1.023654,-0.068457,-0.006344,0.050760
57,1.028261,0.155588,0.022350,-0.007466
58,1.022749,-0.066836,0.102530,0.012317
59,1.024939,-0.053506,0.016779,0.072468
60,1.030512,0.172581,0.007804,-0.045622
61,1.031629,0.234605,89.932058,10.831222
62,1.024382,0.278533,0.030897,-0.038342
63,1.041726,0.320836,-0.131719,0.054473
64,1.018133,0.002333,0.014456,-0.049820
65,1.033815,0.255849,0.088266,-0.065514
66,1.031699,0.185441,0.116594,-0.087465
67,1.028873,0.174435,-1.337460,0.144704
68,1.023787,0.134317,-0.076383,-0.015509
69,1.024850,0.143807,-0.013306,0.016185
70,1.030597,0.177266,0.033972,0.044868
71,1.023946,0.140937,-0.004586,0.038877
72,1.018627,0.264219,-0.022309,-0.110573
73,1.033871,0.309406,0.041362,0.024776
74,1.023767,-0.003761,0.046125,-0.010352
75,1.030876,0.294442,0.095329,-0.074997
76,1.024248,-0.068792,0.045865,0.047439
77,1.036344,0.316035,-0.047658,-0.028056
78,1.022976,0.193010,0.044548,0.009990
79,1.031148,0.296262,-0.001114,0.084554
80,1.045254,-0.057954,0.078270,-0.046610
81,1.039234,0.141855,0.086634,0.002701
82,1.040153,-0.017588,-0.044065,-0.034912
83,1.043468,0.100873,-0.017378,-0.025090
84,1.040922,-0.047998,0.076309,0.026251
85,1.036108,0.062370,-0.001073,0.019849
86,1.041761,-0.050604,-0.008013,-0.005636
87,1.045304,-0.046088,0.029614,-0.029643
88,1.039513,0.149955,0.059993,0.034239
89,1.040677,-0.025914,-0.021033,0.077612
90,1.042928,0.204266,-0.066529,0.115392
91,1.039832,0.154757,0.012999,0.042377
92,1.035073,0.137808,0.038454,-0.081005
93,1.039679,0.148337,0.021906,0.040644
94,1.041170,0.144305,0.066691,-0.013301
95,1.044060,0.119253,0.005687,-0.078454
96,1.043622,0.166765,-0.038586,0.009972
97,1.042759,-0.046851,0.044242,-0.000163
98,1.044218,0.170638,-0.006228,-0.079015
99,1.046069,0.151011,-0.027105,0.044540
100,1.042439,0.000094,0.022217,0.035373
101,1.039369,0.139103,-0.003509,0.079868
102,1.030407,-0.060054,0.081164,-0.132863
103,1.043298,0.180678,0.016580,-0.022600
104,1.037863,0.155245,-0.032886,-0.104289
105,1.045150,-0.056605,-0.034128,0.025876
106,1.047278,0.277035,0.054524,0.092742
107,1.032169,-0.067209,0.025287,-0.062518
108,1.015879,0.165206,16.489730,-1.298670
109,1.021031,-0.036860,-313.048344,1.988553
110,1.022531,-0.113501,-210.547033,-12.930816
111,1.025776,0.084157,-199.805393,-7.014482
112,1.024787,-0.103911,-47.422530,-15.538322
113,1.029048,-0.128920,-91.851916,-4.207118
114,1.026849,0.138594,-19.882947,-7.456799
115,1.010841,0.211510,-75.227825,0.190338
116,1.021209,0.046511,-405.627508,-24.210496
117,1.016438,-0.132898,-52.632551,-8.937089
118,1.022638,0.214638,-17.958101,-10.034335
119,1.035399,-0.086973,-266.576341,-25.693191
120,1.024301,0.134979,-85.955344,-10.911502
121,1.020362,-0.121052,-124.951410,-20.994934
122,1.034679,0.064398,-127.165008,-24.910573
123,1.027674,-0.162166,-242.827387,-10.140846
124,1.030201,-0.029820,-165.468339,27.447543
125,1.022332,-0.058728,-142.301686,-14.203750
126,1.031117,-0.091850,-117.275122,-6.659430
127,1.022987,0.319611,284.883281,-7.353519
128,1.036529,0.098672,-193.948482,-6.703817
129,1.033776,0.037629,-318.329582,20.290982
130,1.022778,0.057410,-429.415463,-34.170146
131,1.026592,-0.078934,-185.716067,-21.260547
132,1.012269,0.107311,37.050004,-9.989018
133,1.006009,0.056944,-164.474883,24.940476
134,1.022270,0.060820,-228.595688,7.349141
135,1.025070,-0.120121,-249.453169,-14.697766
136,1.027497,-0.146614,-282.735445,-17.619306
137,1.027329,0.068506,-158.459815,0.158455
138,1.024510,0.133112,-143.757919,-17.112383
139,1.022683,-0.123569,-197.392057,-8.115357
140,1.019901,-0.219988,-108.830649,-2.819595
141,1.018423,-0.188818,-142.548216,-7.971103
142,1.025066,0.045343,-172.497468,4.610028
143,1.016647,-0.084596,-56.577764,-4.612997
144,1.022100,0.133298,-85.738449,-6.514927
145,1.019567,0.086516,-249.154135,11.513550
146,1.014565,-0.072762,-4.808091,-2.213795
147,1.026023,-0.125432,-85.529845,-7.414229
148,1.010594,0.283922,0.015729,-0.025224
149,1.020885,-0.161685,-179.114903,-12.836798
150,1.026434,0.139945,-104.722189,12.650222
151,1.026376,0.042807,-243.666447,-9.154840
152,1.021641,0.237981,-109.370383,0.925664
153,1.026049,0.314304,-7.699344,-2.616405
154,1.017994,-0.048448,-113.275932,-4.929793
155,1.023785,0.333952,236.619046,-0.770090
156,1.020485,0.174886,-21.972366,-6.320377
157,1.018003,0.080053,-107.291138,-5.661132
158,1.026931,0.115122,-54.002374,-5.699199
159,1.028935,-0.045881,61.298793,17.547643
160,1.027589,0.245500,149.127035,-1.266053
161,1.017822,0.227413,183.325660,10.069268
162,1.020899,0.259553,13.150290,9.487181
163,1.021883,0.149049,-8.555678,-1.810556
164,1.027277,-0.049570,17.455763,-0.669444
165,1.009459,0.319404,41.518671,-17.484525
166,1.021222,0.035537,82.294410,-14.491879
