bus,vm_pu,va_degree,p_mw,q_mvar
1,1.036785,0.038988,-0.825944,-52.733416
2,1.039080,0.142347,-0.735158,-37.308684
3,1.041256,0.082484,-0.724702,-27.571060
4,1.041858,0.077267,-0.719536,-44.544710
5,1.018068,0.437100,860.947130,-100.299478
6,1.019655,0.284389,-0.896773,-2.601736
7,1.041561,0.033273,-0.768016,61.652135
8,1.008054,-0.012467,-0.831649,-0.039277
9,1.025952,-0.049126,-0.756737,0.011907
10,1.047331,0.172732,892.136014,0.034965
11,1.018456,-0.060937,-4.686222,-0.252675
12,1.011809,0.011382,-0.808514,-0.072184
13,1.023835,-0.053911,-7.750007,-1.573203
14,1.025575,-0.044054,-0.734473,0.020258
15,1.042058,0.049914,-0.718894,0.052222
16,1.008476,0.069520,-0.835755,0.040872
17,1.025939,-0.001184,-0.745322,0.067530
18,1.014745,-0.057329,-0.791345,-0.027776
19,1.019010,0.039041,-0.705358,0.060823
20,1.018687,-0.063330,-0.719181,-0.012800
21,1.021252,-0.013138,-0.771670,-0.004699
22,1.032964,0.070494,71.746838,16.441434
23,1.004304,-0.004426,-0.762145,-0.059507
24,1.021391,0.087600,-0.839112,0.019567
25,1.016049,-0.035900,-0.841771,-0.053486
26,1.043502,0.117915,-4.679885,-0.169715
27,1.032368,-0.004495,-4.659538,-0.168630
28,1.030722,0.034558,-3.479905,0.504660
29,1.022468,0.028590,-0.814813,-0.066889
30,1.029814,-0.003849,30.278629,8.881876
31,1.014841,0.092331,-0.770103,-0.012617
32,1.026570,-0.010963,-0.773513,0.072693
33,1.031132,-0.001403,-0.671239,0.054677
34,1.021473,0.031273,-0.707538,0.014704
35,1.000797,0.020972,-0.752940,0.023152
36,1.014117,-0.012709,-0.730095,0.002934
37,1.021724,-0.063220,-0.729112,-0.049493
38,1.020884,0.013989,-0.797768,-0.012049
39,1.020838,0.028507,-0.766512,-0.041105
40,1.020736,0.284412,-0.865897,0.004827
41,1.020656,0.007826,-0.737075,0.067407
42,1.014185,0.089891,-0.724108,0.018862
43,1.020976,-0.064574,-0.804695,-0.023198
44,1.018405,0.026038,-0.767729,0.052528
45,1.022584,-0.023075,-0.787800,0.032342
46,1.021043,-0.043786,-0.773540,-0.026006
47,1.022464,0.044809,-0.699265,0.017560
48,1.017670,0.023573,-0.784909,-0.034184
49,1.022995,0.024548,-0.750816,0.021995
50,1.021962,-0.056978,-29.928421,-0.019504
51,1.019721,0.112736,-0.837687,0.013831
52,1.022380,-0.002640,-0.762621,-0.076025
53,1.019595,0.004371,-0.844528,-0.024343
54,1.028890,0.213551,-0.624570,-0.022070
55,1.020141,-0.067897,-0.778285,0.065774
56,1.022664,-0.071161,-0.703378,0.020588
57,1.023212,0.024956,-0.830015,-0.028598
58,1.019427,-0.068421,-0.742816,0.012062
59,1.022201,-0.063702,-0.744065,-0.024342
60,1.023116,0.043293,-0.739192,-0.001158
61,1.024030,0.047846,89.270558,3.220160
62,1.016197,0.114912,-0.779250,-0.053898
63,1.028813,0.191630,-0.822242,-0.018987
64,1.016155,-0.039637,-0.804025,0.016522
65,1.015004,0.147910,-0.712113,0.024359
66,1.022330,0.055236,-0.769824,0.008553
67,1.024277,0.028761,-3.047278,0.793329
68,1.019123,0.005104,-0.776484,0.039377
69,1.020947,0.034207,-0.755558,0.030231
70,1.022005,0.071989,-0.712650,-0.036976
71,1.018866,0.023530,-0.754412,0.012841
72,1.011200,0.102293,-0.783230,-0.022901
73,1.022518,0.134022,-0.645344,0.100223
74,1.018578,-0.048794,-0.760170,-0.065995
75,1.021510,0.083631,-0.740159,-0.035370
76,1.020493,-0.066539,-0.750257,-0.118681
77,1.025338,0.175284,-0.743305,0.037424
78,1.015940,0.055933,-0.731503,-0.076738
79,1.022818,0.099384,-0.735559,-0.024312
80,1.047324,0.084657,-0.656269,-0.072193
81,1.034993,0.021253,-0.818816,0.026373
82,1.040946,-0.016893,-0.794059,-0.037273
83,1.044407,0.037328,-0.748753,0.003836
84,1.041126,-0.010882,-0.759257,0.029030
85,1.037730,0.017123,-0.738394,0.018676
86,1.041183,-0.008131,-0.785811,0.061966
87,1.047597,0.046546,-0.770939,-0.020617
88,1.035578,0.025393,-0.758122,0.047728
89,1.041505,-0.016985,-0.840375,-0.005809
90,1.036260,0.076611,-0.791844,-0.005298
91,1.038631,0.024906,-0.809704,0.012350
92,1.031149,0.025224,-0.785711,0.069465
93,1.035924,0.028684,-0.741395,-0.013328
94,1.036248,0.024556,-0.805016,-0.005108
95,1.042655,0.040136,-0.753798,-0.093255
96,1.038538,0.039315,-0.743637,-0.026705
97,1.041242,-0.011930,-0.763827,-0.089925
98,1.043380,0.082383,-0.725587,-0.079352
99,1.048083,0.079624,-0.738334,-0.052107
100,1.043370,-0.000188,-0.788540,0.015941
101,1.036319,0.039790,-0.707636,0.037877
102,1.029860,0.038217,-0.737714,-0.038843
103,1.037918,0.054171,-0.836979,-0.015519
104,1.035056,0.025419,-0.776221,0.075127
105,1.043461,0.077568,-0.827054,0.078069
106,1.039562,0.142453,-0.810469,-0.001768
107,1.034140,0.033392,-0.753093,-0.008720
108,1.010332,-0.028782,-16.047225,-3.397726
109,1.017762,-0.074689,-202.894419,-19.161865
110,1.020702,-0.115409,-178.396786,-15.093746
111,1.018628,-0.029258,-131.000144,-15.696473
112,1.022324,-0.094994,-203.205680,-1.485213
113,1.028315,0.126449,-103.123626,-21.641371
114,1.019699,0.018305,-33.342517,-13.626819
115,1.005717,0.262020,-26.105376,17.888390
116,1.010081,-0.052083,-292.442136,-51.914953
117,1.013901,-0.084864,-48.685536,-8.469604
118,1.013088,0.064872,-88.324938,-0.804495
119,1.030364,-0.064668,-165.430200,-47.635871
120,1.016329,-0.018143,-186.570503,-3.751333
121,1.004717,-0.025867,-156.181163,-41.694757
122,1.028339,-0.006114,-150.490442,-43.412260
123,1.025535,-0.086790,-146.038094,-19.358862
124,1.022578,-0.059849,-122.609558,6.960254
125,1.019718,-0.080088,-126.546066,-19.047620
126,1.029302,0.032875,-103.167878,-26.811218
127,1.019366,0.025787,-67.094540,6.016726
128,1.027047,-0.011373,-106.850899,-40.610889
129,1.022161,-0.035477,-191.318533,-9.764436
130,1.010398,-0.031671,-253.435432,-65.136336
131,1.024602,-0.062927,-156.600998,-31.474321
132,1.010605,-0.019582,-44.627688,-2.793610
133,1.005736,-0.107702,-179.899757,36.119333
134,1.019261,-0.047004,-160.552459,3.704388
135,1.020931,-0.105554,-178.992350,-27.388102
136,1.022091,-0.128492,-204.759582,-35.350437
137,1.021806,-0.037335,-142.743803,-4.340926
138,1.018079,0.005408,-121.712170,-23.286298
139,1.018543,-0.132367,-225.011783,-9.929709
140,1.023963,-0.003911,-78.428848,-9.830474
141,1.014809,-0.106014,-91.827457,-19.737667
142,1.016652,-0.071631,-124.514572,-11.141936
143,1.007927,-0.109203,-85.830474,-16.395306
144,1.017627,0.010324,-68.716706,-1.462850
145,1.023671,0.010896,-181.099148,43.756998
146,1.014546,0.065588,-4.419064,-5.235785
147,1.021709,-0.063585,-57.191910,-14.700272
148,1.005555,0.083472,-0.721301,0.060311
149,0.998640,-0.063227,-191.216021,-42.569634
150,1.017845,0.066158,-28.191634,-1.292978
151,1.012698,-0.098095,-202.681121,-40.664358
152,1.013972,0.089325,-68.110568,1.030764
153,1.018150,0.185695,-8.332040,2.991888
154,1.011054,-0.083772,-96.739009,-15.771895
155,1.015126,0.140232,-18.275762,20.268389
156,1.017299,0.043491,-24.397541,9.561571
157,1.011408,-0.051603,-109.250556,-10.416164
158,1.023505,0.019951,-43.788181,-6.435028
159,1.021821,0.052130,51.289263,16.801177
160,1.026265,0.024013,-68.529919,2.270877
161,1.016427,0.024661,5.883962,11.159391
162,1.015043,0.054040,-61.808263,12.816077
163,1.021663,-0.012477,-23.749391,7.562526
164,1.022224,0.053091,-57.397362,-8.770128
165,1.005123,0.134730,-11.190486,6.990206
166,1.014084,-0.064444,-31.021641,-18.205724
167,1.006429,0.075642,-24.834423,21.189734
168,1.019281,-0.080162,-130.347455,-72.227992
169,1.023985,0.076148,98.182593,28.589034
170,1.014379,0.042479,-27.597795,15.820758
171,1.003093,-0.019979,-53.554751,-10.357433
172,1.004711,0.086102,-27.520964,3.376505
173,1.031767,0.002466,71.187882,-13.188038
174,1.031079,0.001119,20.186022,-2.909613
175,1.034137,0.016212,53.241152,5.848698
176,1.030084,0.007202,21.226454,36.934228
177,1.032394,-0.001830,-0.738768,-0.133629
178,1.006215,0.078898,28.207476,-8.855769
179,1.029230,0.000100,30.368977,-8.334662
180,1.025158,-0.049500,-0.807789,-0.045811
181,1.022436,0.098003,65.200665,-16.110155
182,1.032099,-0.000482,-0.766705,28.690249
183,1.047527,0.068371,117.189646,17.620198
184,1.027563,-0.002387,-0.732489,0.020123
185,1.030060,-0.024439,-0.726510,-0.020538
186,1.023119,-0.005160,-0.855569,0.024974
187,1.014603,-0.012388,25.701188,-13.242941
188,1.013771,-0.012638,25.687315,-16.008687
189,1.013305,-0.013388,25.794579,-16.032472
190,1.020106,0.008798,-0.805170,0.060449
191,1.030233,0.224443,183.656943,-14.325471
192,1.026406,0.198832,119.138606,-16.759990
193,1.024451,0.029358,-0.803216,-0.042991
194,1.025970,0.135296,119.278447,16.914922
195,1.023804,0.032508,-0.693018,29.263922
196,1.020977,0.285141,92.188007,96.980172
197,1.020972,0.110506,-0.788534,0.005582
198,1.022692,0.284423,-0.690709,13.728247
199,1.023502,-0.001853,-0.776649,0.021294
200,1.028624,0.213426,31.728932,-17.422520
201,1.029193,0.213575,31.749870,12.023310
202,1.029351,0.213900,31.757301,12.008126
203,1.028833,0.214613,121.747665,-30.241453
204,1.021338,-0.064686,-0.820590,-0.024844
205,1.022089,-0.067026,-0.705734,0.033063
206,1.023013,0.043818,34.246964,-18.280699
207,1.023673,0.043502,34.205726,27.395963
208,1.021508,0.014275,-0.688768,0.075279
209,1.022608,0.014815,-0.821769,-0.046641
210,1.021571,0.014863,-0.744583,0.008415
211,1.021716,0.016428,-0.708555,0.068068
212,1.016872,0.117124,-0.718468,0.061129
213,1.022085,-0.062125,-0.801718,0.002193
214,1.022785,-0.062296,-0.777796,-0.028575
215,1.021376,-0.062183,-0.770397,-0.062560
216,1.022980,-0.062619,-0.847551,0.041715
217,1.022956,-0.061947,-0.799923,0.015285
218,1.021899,0.054423,99.772918,0.826457
219,1.019859,-0.067872,-0.831451,-0.058952
220,1.027693,0.034322,593.188494,180.836883
221,1.027001,0.033668,-0.766656,-0.016961
222,1.021975,-0.043789,234.463811,46.732390
223,1.016468,0.061399,-0.737991,-0.027635
224,1.022671,0.048001,-0.818399,0.038444
225,1.039100,0.146966,94.663860,-2.350913
226,1.045388,0.010960,-0.768675,-0.001910
227,1.042988,0.076701,-0.781378,-38.812776
228,1.043036,0.077646,-0.779334,4.727388
229,1.039019,0.024747,-0.720401,64.082152
230,1.039129,0.023952,-0.709661,25.012512
231,1.039611,0.075179,-0.689426,18.741797
232,1.038782,0.039469,156.836480,-3.260503
233,1.038298,0.039577,156.797597,-3.810935
234,1.047698,0.048649,117.245149,-1.962339
235,1.047617,0.048235,117.263900,-1.770382
236,1.046910,0.047587,117.169081,-1.691376
237,1.047698,0.079424,114.418744,10.811545
238,1.047328,0.079848,114.443507,10.745163
239,1.043210,-0.000335,234.454527,-17.849961
240,1.044377,-0.000578,234.341231,25.478831
241,1.043773,0.046004,247.066647,-12.819170
242,1.041816,0.045920,247.136272,-17.607504
243,1.047231,0.080141,250.323120,14.317346
244,1.048619,0.078868,250.300702,10.756766
245,1.025080,0.056898,-34.100068,-8.904652
246,1.024394,-0.050350,-21.876009,-5.753690
247,1.023162,-0.005243,-4.706708,0.662048
248,1.019698,0.089208,-2.988615,1.516940
249,1.025649,-0.050772,-7.411202,-0.732035
250,1.044594,0.049359,-13.775999,25.460865
251,1.024595,0.014443,66.188814,-0.284732
252,1.022527,0.106966,29.808833,-6.353113
253,1.019042,0.106466,26.388210,-0.441688
254,1.029932,0.005803,33.967824,-3.607709
255,1.045262,0.046160,-29.713027,27.983378
256,1.019069,0.007924,-95.366858,-15.319759
257,1.014992,0.118844,-4.120334,1.343841
258,1.020311,0.034704,-3.562198,1.386822
259,1.017664,0.129803,-3.516516,2.062641
260,0.998617,-0.098681,-117.567861,-25.552010
261,1.013193,0.108749,-1.994793,1.499788
262,1.018790,0.062176,15.702951,2.596985
263,1.016391,0.117430,12.139697,-2.043711
264,1.022500,0.048726,35.496518,-8.736375
265,1.018589,0.061114,34.666150,5.439831
266,1.017083,0.117683,9.093885,6.978680
267,1.021137,0.083277,45.406207,-45.847803
268,1.038552,0.077302,45.873560,21.506272
269,1.002295,0.229569,-0.721274,-0.018377
270,1.001883,0.229446,-0.693969,0.007518
271,1.002206,0.206980,-0.780512,-0.089527
272,1.004096,0.158803,-0.649212,-0.050932
273,1.015908,-0.026222,29.247919,3.692627
274,1.015124,-0.027134,-0.775577,-0.031389
275,1.014912,-0.028899,-0.771273,0.057215
276,1.012677,-0.043503,-0.812301,0.008922
277,1.012189,-0.044775,-0.855221,0.027962
278,1.011910,-0.047548,-0.815936,-0.075481
279,1.010976,-0.052058,-0.770735,0.005339
280,1.010963,-0.029779,-0.755359,-0.059308
281,1.013280,-0.029696,-0.770177,-0.042892
282,1.014746,-0.027563,-0.701834,-0.045699
283,1.011610,-0.018132,-0.747135,0.018537
284,1.019131,0.004497,-0.714090,-0.007875
285,1.020572,0.003829,-0.669752,0.132667
286,1.023327,0.010961,-0.810417,-0.059402
287,1.005970,-0.105477,-0.743390,-0.027729
288,1.007404,-0.105571,-0.711676,0.032366
289,1.008956,-0.097495,-0.861453,0.055180
290,1.010431,-0.091774,-0.786228,0.010781
291,1.009926,-0.091133,-0.685247,0.003123
292,1.009526,-0.091385,-0.800525,-0.019078
293,1.011287,-0.076653,23.337535,-7.233966
294,1.006381,0.080263,-0.637416,0.045462
295,1.006804,0.076046,-0.817046,-0.026047
296,1.005930,0.075874,-0.735808,0.026918
297,1.005781,0.075053,-0.803534,-0.078807
298,1.004075,0.118781,-0.770504,0.011302
299,1.005059,0.118609,-0.742664,-0.037460
300,1.005476,0.118764,-0.715032,0.043549
301,1.004838,0.107732,-0.766332,0.038192
302,1.005518,0.098171,-0.759406,-0.041648
303,1.004678,0.089330,-0.754376,0.046992
304,1.004479,0.089238,-0.758913,0.009032
