bus,vm_pu,va_degree,p_mw,q_mvar
1,1.068880,-0.048330,-2.684625,-0.638338
2,1.035110,-0.125229,-31.320567,0.821552
3,1.061465,-0.010932,-41.642969,4.779036
4,1.080692,-0.035552,-66.689729,-9.773116
5,1.073636,-0.056621,1.485665,1.069665
7,1.064799,0.020453,94.881864,2.642441
8,1.086727,-0.028194,9.926717,-62.271923
9,1.061263,0.010177,-12.485959,-33.768607
10,1.062773,0.014045,50.256542,-36.602253
11,1.053213,0.017033,428.018959,-64.002219
12,1.099326,-0.030396,-210.905402,13.708630
13,1.057026,-0.000067,35.712513,87.731498
14,1.102982,-0.021576,1.509190,24.830032
15,1.079690,-0.024697,-5.861173,5.524736
16,1.061352,-0.004504,-30.912346,-1.083403
17,1.062656,-0.008140,-9.913721,0.795686
18,1.080278,-0.031389,0.033248,1.731261
19,1.067099,-0.054595,0.138709,-0.046667
20,1.033963,-0.085274,-5.825037,0.132784
21,1.037077,-0.085365,-5.580382,0.534003
26,1.076417,-0.038763,-32.296803,-3.852331
29,1.066603,-0.029923,-0.065219,0.017323
30,1.032267,-0.118987,-17.819207,1.132727
34,1.067427,-0.010867,79.660258,-4.554418
35,1.069928,-0.025389,-10.331852,-0.947517
36,1.073990,-0.034341,-0.736897,22.268637
42,1.076807,-0.066170,-30.145072,-0.520704
55,1.072375,-0.047858,-7.796952,-0.441420
68,1.073494,-0.058004,-3.642131,-0.293608
72,1.090473,-0.046695,-117.552134,19.490619
103,1.081379,-0.038123,-52.912914,8.715157
