bus,vm_pu,va_degree,p_mw,q_mvar
1,1.051290,0.109916,75.060153,-0.137782
2,1.009829,0.024013,-32.977262,-1.731580
3,1.038051,0.128354,-50.632855,-2.846431
4,1.058138,-0.025823,-69.267415,-13.039246
5,1.062801,0.073174,24.284733,0.823728
7,1.043568,0.147493,62.622765,-13.049254
8,1.070101,-0.005412,30.568316,-71.367401
9,1.042556,0.140739,65.432563,-18.685685
10,1.052891,0.032752,-24.230000,14.162124
11,1.043193,0.005376,228.547233,3.520113
12,1.082416,-0.024461,-161.509384,-12.123957
13,1.044883,-0.000460,2.575737,96.239270
14,1.089743,0.001325,78.738594,38.439953
15,1.060345,-0.016134,-5.547963,4.836085
16,1.040862,0.135867,-13.651915,-5.579189
17,1.041233,0.135151,-8.378364,0.142124
18,1.060158,-0.020389,-0.105234,1.186965
19,1.052746,0.119229,1.419328,0.012819
20,1.020567,0.088898,-5.466974,0.153842
21,1.019893,0.207560,16.097299,-0.514490
26,1.054609,-0.016416,-33.781894,-6.934173
29,1.043569,0.123104,1.355478,-0.096712
30,0.996474,0.018922,-19.844424,-1.179785
34,1.043429,0.137519,79.894434,-16.893087
35,1.046014,0.132585,9.817339,0.555366
36,1.048416,0.124535,1.502811,-2.135054
42,1.058082,0.001394,-30.418714,-2.211756
55,1.049567,0.044948,-8.035709,-1.832749
68,1.062197,0.072809,-1.461914,0.076868
72,1.071676,-0.028197,-106.356393,15.586055
103,1.058348,-0.026854,-95.738718,-15.749875
