bus,vm_pu,va_degree,p_mw,q_mvar
1,1.028921,-0.053754,-3.458286,-2.233108
2,0.996273,-0.150151,-36.020033,2.030040
3,1.024351,-0.035064,-37.962052,-1.430539
4,1.054020,-0.044377,-118.419805,-23.340396
5,1.033433,-0.063700,-4.665986,-0.702608
7,1.034994,-0.024002,36.161250,13.309462
8,1.061288,0.017235,161.393518,-93.685555
9,1.032756,-0.027497,32.764212,-11.325560
10,1.043253,-0.048292,-36.427490,0.619410
11,1.034597,-0.002774,298.583616,21.547157
12,1.070591,-0.061234,-396.277207,-16.125232
13,1.039196,0.001145,132.778699,84.130930
14,1.083313,0.015031,100.199664,60.988402
15,1.056303,-0.034120,-7.055940,4.103758
16,1.025553,-0.038676,-40.731586,-4.450381
17,1.024966,-0.036910,-13.899272,0.870760
18,1.056294,-0.040320,-2.062838,1.211725
19,1.028009,-0.059873,0.065067,0.008634
20,0.996370,-0.088139,-4.854846,0.216347
21,1.002069,-0.083826,-4.195338,1.212585
26,1.050321,-0.049374,-40.474113,-4.481271
29,1.024119,-0.041968,-0.050710,0.012414
30,0.985264,-0.143889,-18.747580,0.128046
34,1.025093,-0.027980,79.683464,-30.703108
35,1.028301,-0.031559,-20.792944,-2.737050
36,1.033411,-0.028532,55.899531,8.714210
42,1.045196,-0.064225,-28.409891,0.132691
55,1.037837,-0.055573,-7.548300,-0.978166
68,1.033034,-0.065335,-7.939460,-1.968964
72,1.066345,-0.036666,-41.267539,-3.460436
103,1.054586,-0.044480,-21.622507,-5.300579
